id,idx,name,mass,nametype,recclass,reclat,reclong,year,fall,googleCount,bingCount,youtubeCount,twitterCount,flickrCount,text
0,1,"Aachen",21,"Valid","L5",50.775,6.08333,1880,"Fell",86,1,0,10,0,"
Aachen 
Nordrhein-Westfalen, Germany
Date of fall or find unknown
Ordinary chondrite (L5, S3)
A stony meteorite (weight 21 g, partly covered by fusion crust) labeled ""Meteorite, fell near Aachen"" is on display in the Lippesches Landesmuseum, Detmold. No further circumstances of find or fall are known. A comparison of the handwriting on the label with other labels suggests that the meteorite came into the museum collection around 1880. Classification and analysis: olivine Fa24.6; pyroxene Fs20.5; M. Schliestedt, Institute of Mineralogy, University of Hannover, D-30167 Hannover, Germany, and R. Bartoschewitz, "
1,2,"Aarhus",720,"Valid","H6",56.18333,10.23333,1951,"Fell",1770,10,0,1,0,"AARHUS,
 Denmark. Stone.
Literature;
1. Nord. Astron. Tidsskr. 1951, p.150. 2. Meddel Dansk. Geol. For. 1952, v.12,
284-297. Reprints: Mus. Min. Geol. Univ. Copenhague Missell No 16. 3. Nord. Astron.
Tidsskr. 1953, No 2, p.56-68.  4. Meddelelser fra Ole Roemer Obs. 1 Aarnus. 1953,
No. 23, 305-336.
"
2,6,"Abee",107000,"Valid","EH4",54.21667,-113,1952,"Fell",1530,47,0,10,0,"ABBE,
 Alberta, Canada. Stone,
Literature:
1. P.M.Millman. Catalogue of Canadian Meteorites. The Journal of the Royal Astr.
Soc. of Canada. 1953, v.47, No 1, 29-33. /MA-12-358/
"
3,10,"Acapulco",1914,"Valid","Acapulcoite",16.88333,-99.90000000000001,1976,"Fell",1480,20,0,0,0,"FALL OF THE
ACAPULCO, MEXICO, STONY METEORITE 
Name: ACAPULCO
Place of
fall: El Quemado Colony, on the outskirts of
Acapulco, State of Guerrero, Mexico.
 16°53'N,
99°54'W.
Date of fall: August
11, 1976, at 11 a.m. local time.
Class and
type: Stone.
Number of
individual
 specimens: 1
Total weight: 1914
g
Circumstances
of fall: The fall was collected by Sr. Leodegario Cardenas. He
reported that ""the bolide followed a west to east trajectory, producing a
buzz similar to that of a small aeroplane and an impact like that of a cannon
ball. It landed by 11 in the morning, and it was collected from a small crater,
some 30 cm deep, 15 minutes later; the bush around was splashed radially away
and the stone was cool."" The coordinates are those of the fall site.
Source: Dr.
G. Sanchez Rubio, Instituto de Geologia, Universitad Nacional Autonoma,
Apartado Postal 70-296, Ciudad Universitaria, Mexico 20. D.F. Mexico. Reported
in Scientific Event Alert Net­work (SEAN) Bulletin 1978, 3, No. 1, p. 10.
"
4,370,"Achiras",780,"Valid","L6",-33.16667,-64.95,1902,"Fell",0,0,0,0,0,""
5,379,"Adhi Kot",4239,"Valid","EH4",32.1,71.8,1919,"Fell",13400,16,0,1,0,""
6,390,"Adzhi-Bogdo (stone)",910,"Valid","LL3-6",44.83333,95.16667,1949,"Fell",28,0,0,0,0,"HOBDO, Mongolia. Stone. Literature: 1. Meteoritica. Acad. Sci. USSR, 1954, No. 11, pp. 81-68 /MA-13-52/."
7,392,"Agen",30000,"Valid","H5",44.21667,0.6166700000000001,1814,"Fell",1890,20,0,0,0,""
8,398,"Aguada",1620,"Valid","L6",-31.6,-65.23333,1930,"Fell",189,3,0,0,0,""
9,417,"Aguila Blanca",1440,"Valid","L",-30.86667,-64.55,1920,"Fell",102,0,0,0,0,""
10,423,"Aioun el Atrouss",1000,"Valid","Diogenite-pm",16.39806,-9.57028,1974,"Fell",381,4,0,0,0,"FALL OF
THE AIOUN EL ATROUSS, MAURITANIA, STONY METEORITE
Name: AIOUN
EL ATROUSS
Place of
fall: 40 km south of the town of Aioun el
Atrouss, in the locality called Gounquel, SE. Mauritania.
 16°
23'5 3""N., 9° 34'1 3""W.
Date of fall: April
17, 1974.
Class and
type: Stone. Hypersthene achondrite. 
Number of
individual
 specimens: Not
reported.
Total weight: Not
reported.
Circumstances
of fall: A fireball was observed and a sonic boom was heard.
Meteoritic material was recovered from three separate sites in sandy, desert
terrain by tribesmen.
Source:
I.S.M. Lomena, F. Toure, E.K. Gibson, Jr., U.S. Clanton and A.M. Reid, 1976.
Aioun el Atrouss: a new hypersthene achondrite with eucritic inclusions. Meteoritics
11, 51-57.
"
11,424,"Aïr",24000,"Valid","L6",19.08333,8.383330000000001,1925,"Fell",2,1710,0,2,0,""
12,425,"Aire-sur-la-Lys","","Valid","Unknown",50.66667,2.33333,1769,"Fell",90,1,0,0,0,""
13,426,"Akaba",779,"Valid","L6",29.51667,35.05,1949,"Fell",253,4,0,1,0,""
14,427,"Akbarpur",1800,"Valid","H4",29.71667,77.95,1838,"Fell",1040,4,0,0,0,""
