id,idx,name,nametype,recclass,mass,fall,year,reclat,reclong,impact,impact,impactName
0,1,Aachen,Valid,L5,21,Fell,1880,50.775,6.08333,54792,4540000,Aachen
1,2,Aarhus,Valid,H6,720,Fell,1951,56.18333,10.23333,41441,3420000,Aarhus
2,6,Abee,Valid,EH4,107000,Fell,1952,54.21667,-113,80689,76000,Abee
3,10,Acapulco,Valid,Acapulcoite,1914,Fell,1976,16.88333,-99.9,31619,360000,Acapulco
4,370,Achiras,Valid,L6,780,Fell,1902,-33.16667,-64.95,57790,7410,Achiras
5,379,Adhi Kot,Valid,EH4,4239,Fell,1919,32.1,71.8,22926,1900,Adhi Kot
6,390,Adzhi-Bogdo (stone),Valid,LL3-6,910,Fell,1949,44.83333,95.16667,30457,5750,Adzhi
7,392,Agen,Valid,H5,30000,Fell,1814,44.21667,0.61667,81367,6090000,Agen
8,398,Aguada,Valid,L6,1620,Fell,1930,-31.6,-65.23333,1369,564000,Aguada
9,417,Aguila Blanca,Valid,L,1440,Fell,1920,-30.86667,-64.55,51955,3970,Aguila Blanca
10,423,Aioun el Atrouss,Valid,Diogenite-pm,1000,Fell,1974,16.39806,-9.57028,13162,18700,Aioun el Atrouss
11,424,Aïr,Valid,L6,24000,Fell,1925,19.08333,8.38333,95504,346000,Aire
12,425,Aire-sur-la-Lys,Valid,Unknown,,Fell,1769,50.66667,2.33333,68668,14600,Aïr
13,426,Akaba,Valid,L6,779,Fell,1949,29.51667,35.05,93351,306000,Akaba
14,427,Akbarpur,Valid,H4,1800,Fell,1838,29.71667,77.95,35128,37600,Akbarpur
15,432,Akwanga,Valid,H,3000,Fell,1959,8.91667,8.43333,42012,1930,Akwanga
16,433,Akyumak,Valid,"Iron, IVA",50000,Fell,1981,39.91667,42.81667,52014,639,Akyumak
17,446,Al Rais,Valid,CR2-an,160,Fell,1957,24.41667,39.51667,49171,6930,Al Rais
18,447,Al Zarnkh,Valid,LL5,700,Fell,2001,13.66033,28.96,94813,450,Al Zarnkh
19,448,Alais,Valid,CI1,6000,Fell,1806,44.11667,4.08333,20108,1120000,Alais
20,453,Albareto,Valid,L/LL4,2000,Fell,1766,44.65,11.01667,65336,43800,Albareto
21,454,Alberta,Valid,L,625,Fell,1949,2,22.66667,32968,2940000,Alberta
22,458,Alby sur Chéran,Valid,Eucrite-mmict,252,Fell,2002,45.82133,6.01533,17893,13700,Alby sur Chéran
23,461,Aldsworth,Valid,LL5,700,Fell,1835,51.78333,-1.78333,97725,11700,Aldsworth
24,462,Aleppo,Valid,L6,3200,Fell,1873,36.23333,37.13333,76119,4990000,Aleppo
25,463,Alessandria,Valid,H5,908,Fell,1860,44.88333,8.75,67453,624000,Alessandria
26,465,Alexandrovsky,Valid,H4,9251,Fell,1900,50.95,31.81667,79628,11300,Alexandrovsky
27,466,Alfianello,Valid,L6,228000,Fell,1883,45.26667,10.15,46676,3260,Alfianello
28,2276,Allegan,Valid,H5,32000,Fell,1899,42.53333,-85.88333,38138,256000,Allegan
29,2278,Allende,Valid,CV3,2e+06,Fell,1969,26.96667,-105.31667,20031,111000,Allende
30,48915,Almahata Sitta,Valid,Ureilite-an,3950,Fell,2008,20.74575,32.41275,25120,13500,Almahata Sitta
31,2284,Alta'ameem,Valid,LL5,6000,Fell,1977,35.27333,44.21556,89798,717,Alta'ameem
32,2290,Ambapur Nagla,Valid,H5,6400,Fell,1895,27.66667,78.25,91880,5080,Ambapur Nagla
33,2294,Andhara,Valid,Stone-uncl,2700,Fell,1880,26.58333,85.56667,48461,61000,Andhara
34,2295,Andover,Valid,L6,3200,Fell,1898,44.61667,-70.75,43034,1720000,Andover
35,2296,Andreevka,Valid,L3,600,Fell,1969,48.7,37.5,74193,13400,Andreevka
36,2298,Andura,Valid,H6,17900,Fell,1939,20.88333,76.86667,40842,8320,Andura
37,2301,Angers,Valid,L6,,Fell,1822,47.46667,-0.55,440,11700000,Angers
38,2302,Angra dos Reis (stone),Valid,Angrite,1500,Fell,1869,-22.96667,-44.31667,88164,2130,Angra dos Reis (stone)
39,2304,Ankober,Valid,H4,6500,Fell,1942,9.53333,39.71667,50845,7600,Ankober
40,2305,Anlong,Valid,H5,2500,Fell,1971,25.15,105.18333,52927,26200,Anlong
41,2313,Aomori,Valid,L6,320,Fell,1984,40.81056,140.78556,95011,3950000,Aomori
42,2318,Appley Bridge,Valid,LL6,15000,Fell,1914,53.58333,-2.71667,97068,2520,Appley Bridge
43,2320,Apt,Valid,L6,3200,Fell,1803,43.86667,5.38333,36081,4660000,Apt
44,2325,Arbol Solo,Valid,H5,810,Fell,1954,-33,-66,48631,11800,Arbol Solo
45,2329,Archie,Valid,H6,5070,Fell,1932,38.5,-94.3,29389,218000,Archie
46,2340,Arroyo Aguiar,Valid,H5,7450,Fell,1950,-31.41667,-60.66667,70863,5800,Arroyo Aguiar
47,2345,Asco,Valid,H6,41,Fell,1805,42.45,9.03333,90699,3670000,Asco
48,48954,Ash Creek,Valid,L6,9500,Fell,2009,31.805,-97.01,55243,11500,Ash Creek
49,2346,Ashdon,Valid,L6,1300,Fell,1923,52.05,0.3,68844,17300,Ashdon
50,2353,Assisi,Valid,H5,2000,Fell,1886,43.03333,12.55,51339,146000,Assisi
51,4883,Atarra,Valid,L4,1280,Fell,1920,25.25417,80.625,90821,1440,Atarra
52,4884,Atemajac,Valid,L6,94.2,Fell,1896,20.06667,-103.66667,3715,4490,Atemajac
53,4885,Athens,Valid,LL6,265,Fell,1933,34.75,-87,9817,24000000,Athens
54,4888,Atoka,Valid,L6,1384.2,Fell,1945,34.31667,-96.15,63868,15500000,Atoka
55,4893,Aubres,Valid,Aubrite,800,Fell,1836,44.38333,5.16667,37538,22000,Aubres
56,4899,Aumale,Valid,L6,50000,Fell,1865,36.16667,3.66667,39167,65800,Aumale
57,4900,Aumieres,Valid,L6,2000,Fell,1842,44.33333,3.23333,24156,894,Aumieres
58,4903,Ausson,Valid,L5,50000,Fell,1858,43.08333,0.58333,21791,17400,Ausson
59,4905,Avanhandava,Valid,H4,9330,Fell,1952,-21.46028,-49.95083,34757,304000,Avanhandava
60,4906,Avce,Valid,"Iron, IIAB",1230,Fell,1908,46,13.5,9377,39400,Avce
61,4907,Avilez,Valid,H,146,Fell,1855,25,-103.5,86631,10400,Avilez
62,4910,Awere,Valid,L4,134,Fell,1968,2.71667,32.83333,96689,38500,Awere
63,4913,Aztec,Valid,L6,2830,Fell,1938,36.8,-108,91029,9760000,Aztec
64,4917,Bachmut,Valid,L6,18000,Fell,1814,48.6,38,98979,1970,Bachmut
65,4922,Bahjoi,Valid,"Iron, IAB-sLL",10322,Fell,1934,28.48333,78.5,57662,1160,Bahjoi
66,4925,Bald Mountain,Valid,L4,3700,Fell,1929,35.96667,-82.48333,22911,274000,Bald Mountain
67,4926,Baldwyn,Valid,L6,345,Fell,1922,34.5,-88.66667,44627,115000,Baldwyn
68,4928,Bali,Valid,CV3,1000,Fell,1907,5.38333,16.38333,90220,8860000,Bali
69,4934,Ban Rong Du,Valid,"Iron, ungrouped",16700,Fell,1993,16.66667,101.18333,99830,3720,Ban Rong Du
70,4935,Bandong,Valid,LL6,11500,Fell,1871,-6.91667,107.6,67010,5610,Bandong
71,4936,Bansur,Valid,L6,15000,Fell,1892,27.7,76.33333,93379,2630,Bansur
72,4937,Banswal,Valid,L5,14,Fell,1913,30.4,78.2,59874,441,Banswal
73,4938,Banten,Valid,CM2,629,Fell,1933,-6.33333,106,64749,423000,Banten
74,4942,Barbotan,Valid,H5,6400,Fell,1790,43.95,-0.05,88422,28000,Barbotan
75,4944,Barcelona (stone),Valid,OC,,Fell,1704,41.36667,2.16667,46051,778,Barcelona (stone)
76,4946,Barea,Valid,Mesosiderite-A1,3200,Fell,1842,42.38333,-2.5,94868,1520000,Barea
77,4947,Barnaul,Valid,H5,23.2,Fell,1904,52.73333,84.08333,50885,934000,Barnaul
78,4948,Barntrup,Valid,LL4,17,Fell,1886,52,9.1,3062,29700,Barntrup
79,4949,Baroti,Valid,L6,4500,Fell,1910,31.61667,76.8,55637,3810,Baroti
80,4954,Barwell,Valid,L5,44000,Fell,1965,52.56528,-1.33972,21714,5230,Barwell
81,44876,Bassikounou,Valid,H5,29560,Fell,2006,15.78333,-5.9,49417,5180,Bassikounou
82,4957,Baszkówka,Valid,L5,15500,Fell,1994,52.03333,20.93583,89368,10600,Baszkówka
83,4974,Bath,Valid,H4,21000,Fell,1892,45.41667,-98.31667,63709,5340,Bath Furnace
84,4975,Bath Furnace,Valid,L6,86000,Fell,1902,38.25,-83.75,25097,1110000,Bath
85,56133,Battle Mountain,Valid,L6,2900,Fell,2012,40.66813,-117.18913,27974,11600,Battle Mountain
86,4976,Bawku,Valid,LL5,1557,Fell,1989,11.08333,-0.18333,45211,2940,Bawku
87,4977,Baxter,Valid,L6,611,Fell,1916,36.75,-93.5,12410,6740000,Baxter
88,4984,Beardsley,Valid,H5,16000,Fell,1929,39.8,-101.2,33666,1920000,Beardsley
89,4986,Beaver Creek,Valid,H5,14000,Fell,1893,51.16667,-117.33333,63884,1580000,Beaver Creek
90,4993,Beddgelert,Valid,H5,794,Fell,1949,53.01667,-4.1,71803,11000,Beddgelert
91,5005,Bells,Valid,C2-ung,375,Fell,1961,33.6,-96.46667,96779,485000,Bells
92,5009,Belville,Valid,OC,,Fell,1937,-32.33333,-64.86667,38931,252000,Belville
93,5011,Benares (a),Valid,LL4,3700,Fell,1798,25.36667,82.91667,77079,2670,Benares (a)
94,30443,Benguerir,Valid,LL6,25000,Fell,2004,32.25,-8.15,47255,2020,Benguerir
95,5018,Beni M'hira,Valid,L6,19000,Fell,2001,32.86667,10.8,53647,3820,Beni M'hira
96,5021,Benld,Valid,H6,1770.5,Fell,1938,39.08333,-89.15,56908,2610,Benld
97,5023,Benoni,Valid,H6,3880,Fell,1943,-26.16667,28.41667,50315,459000,Benoni
98,5024,Bensour,Valid,LL6,45000,Fell,2002,30,-7,13260,2420,Bensour
99,5026,Benton,Valid,LL6,2840,Fell,1949,45.95,-67.55,79520,4400000,Benton
100,48975,Berduc,Valid,L6,270,Fell,2008,-31.91,-58.32833,72826,1020,Berduc
101,5028,Béréba,Valid,Eucrite-mmict,18000,Fell,1924,11.65,-3.65,96279,4560,Berlanguillas
102,5029,Berlanguillas,Valid,L6,1440,Fell,1811,41.68333,-3.8,86819,633000,Berthoud
103,47355,Berthoud,Valid,Eucrite-mmict,960,Fell,2004,40.30583,-105.02325,64394,4650000,Bethlehem
104,5032,Bethlehem,Valid,H,13.9,Fell,1859,42.53333,-73.83333,92368,2330,Beuste
105,5034,Beuste,Valid,L5,2000,Fell,1859,43.21667,-0.23333,77682,15200,Beyrout
106,5035,Beyrout,Valid,LL3.8,1100,Fell,1921,33.88333,35.5,47820,691,Béréba
107,5037,Bhagur,Valid,L6,18,Fell,1877,20.88333,74.83333,590,2550,Bhagur
108,36591,Bhawad,Valid,LL6,678,Fell,2002,26.50833,73.11528,22588,4070,Bhawad
109,5039,Bherai,Valid,L6,100,Fell,1893,20.83333,71.46667,68854,513,Bherai
110,5040,Bhola,Valid,LL3-6,1047,Fell,1940,22.68333,90.65,74670,227000,Bhola
111,5041,Bholghati,Valid,Howardite,2500,Fell,1905,22.08333,86.9,3111,1130,Bholghati
112,5042,Bialystok,Valid,Eucrite-pmict,4000,Fell,1827,53.1,23.2,56920,1100000,Bialystok
113,5043,Bielokrynitschie,Valid,H4,1900,Fell,1887,50.13333,27.16667,28988,604,Bielokrynitschie
114,5045,Bilanga,Valid,Diogenite,25000,Fell,1999,12.45,-0.08333,54046,3300,Bilanga
115,5051,Binningup,Valid,H5,488.1,Fell,1984,-33.15639,115.67639,47617,2940,Binningup
116,5056,Birni N'konni,Valid,H4,560,Fell,1923,13.76667,5.3,6551,24900,Birni N'konni
117,5059,Bishopville,Valid,Aubrite,6000,Fell,1843,34.16667,-80.28333,28717,49700,Bishopville
118,5060,Bishunpur,Valid,LL3.15,1039,Fell,1895,25.38333,82.6,35119,11400,Bishunpur
119,5063,Bjelaja Zerkov,Valid,H6,1850,Fell,1796,49.78333,30.16667,35787,396,Bjelaja Zerkov
120,5064,Bjurböle,Valid,L/LL4,330000,Fell,1899,60.4,25.8,29143,5840,Bjurböle
121,5065,Black Moshannan Park,Valid,L5,705,Fell,1941,40.91667,-78.08333,64279,1320,Black Moshannan Park
122,5068,Blackwell,Valid,L5,2381,Fell,1906,36.83333,-97.33333,36315,6110000,Blackwell
123,5071,Blanket,Valid,L6,5100,Fell,1909,31.83333,-98.83333,33372,8430000,Blanket
124,5072,Blansko,Valid,H6,470,Fell,1833,49.36667,16.63333,54396,946000,Blansko
125,5076,Bloomington,Valid,LL6,67.8,Fell,1938,40.48,-89.00417,99047,120000,Bloomington
126,5090,Bo Xian,Valid,LL3.9,7500,Fell,1977,33.83333,115.83333,37008,1420,Bo Xian
127,5093,Bocas,Valid,L6,56,Fell,1804,23,-102,31963,1640000,Bocas
128,5097,Bogou,Valid,"Iron, IAB-MG",8800,Fell,1962,12.5,0.7,40060,1180,Bogou
129,5098,Boguslavka,Valid,"Iron, IIAB",256000,Fell,1916,44.55,131.63333,33794,2200,Boguslavka
130,5110,Borgo San Donino,Valid,LL6,1676,Fell,1808,44.86667,10.05,85831,4240,Borgo San Donino
131,5111,Bori,Valid,L6,8600,Fell,1894,21.95,78.03333,86155,1160000,Bori
132,5112,Boriskino,Valid,CM2,1342,Fell,1930,54.23333,52.48333,46587,4660,Boriskino
133,5113,Borkut,Valid,L5,7000,Fell,1852,48.15,24.28333,87927,1010,Borkut
134,5114,Borodino,Valid,H5,500,Fell,1812,55.46667,35.86667,65267,515000,Borodino
135,5117,Botschetschki,Valid,L4,614,Fell,1823,51.33333,33.88333,55345,379,Botschetschki
136,57168,Boumdeid (2003),Valid,L6,190,Fell,2003,17.71067,-11.3715,22905,8,Boumdeid (2003)
137,57167,Boumdeid (2011),Valid,L6,3599,Fell,2011,17.17493,-11.34133,4567,7,Boumdeid (2011)
138,5121,Bovedy,Valid,L3,5460,Fell,1969,54.56667,-6.33333,46841,2540,Bovedy
139,5128,Bradford Woods,Valid,L,762,Fell,1886,40.5,-80.08333,70332,4860,Bradford Woods
140,5133,Braunau,Valid,"Iron, IIAB",39000,Fell,1847,50.6,16.3,50672,198000,Braunau
